Soda Name,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient
HAWAIIAN PUNCH Flavored Juice Drink Fruit Juicy Red -,HAWAIIAN PUNCH Flavored Juice Drink Fruit Juicy Red -,Water,High Fructose Corn Syrup,And Less Than 2% Of: Concentrated Juices,Fruit Purees,Ascorbic Acid,Citric Acid,Natural And Artificial Flavors,Pectin,Acacia Gum,Ester Gum,Red 40,Blue 1,Sucralose,Potassium Sorbate And Sodium Hexametaphosphate,,,,,,,,,
,,Filtered Carbonated Water,Sugar,Citric Acid,Potassium Citrate,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Benzoate,Natural Flavor,Red 40,,,,,,,,,,,,,,,,,
Canada Dry Ginger Ale Soda Bottles -,Canada Dry Ginger Ale Soda Bottles -,Carbonated Water,High Fructose Corn Syrup And Less Than 2% Of: Ginger Extract,Natural Flavor,Citric Acid,Sodium Benzoate,Caramel Color,,,,,,,,,,,,,,,,,
Schweppes Ginger Ale Soda Bottle -,Schweppes Ginger Ale Soda Bottle -,Carbonate Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Caramel Color,Natural Flavor,,,,,,,,,,,,,,,,,
Canada Dry Ginger Ale Soda Bottle -,Canada Dry Ginger Ale Soda Bottle -,Carbonated Water,Sugar And Less Than 2% Of: Ginger Extract,Natural Flavor,Citric Acid,Sodium Benzoate,Caramel Color,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Benzoate,Natural Flavor,Red 40,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Citrate,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,,,
Mug Soda Root Beer -,Mug Soda Root Beer -,Carbonated Water,High Fructose Corn Syrup,Caramel Color,Sodium Benzoate,Citric Acid,Natural And Artificial Flavor,Calcium Disodium Edta,Quillaia Extract,,,,,,,,,,,,,,,
Sprite Soda Pop Lemon Lime Pack In Cans -,Sprite Soda Pop Lemon Lime Pack In Cans -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Natural Flavor,Sodium Citrate,Sodium Benzoate,,,,,,,,,,,,,,,,,
,,Filtered Carbonated Water,High Fructose Corn Syrup,Citric Acid,Potassium Citrate,Natural Flavor,Calcium Disodium Edta,,,,,,,,,,,,,,,,,
Crush Orange Soda Bottle -,Crush Orange Soda Bottle -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Natural Flavor,Modified Corn Starch,Ester Gum,Yellow 6,Salt,Red 40,,,,,,,,,,,,,
Fanta Soda Pop Orange Fruit Flavored,Fanta Soda Pop Orange Fruit Flavored,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Natural Flavor,Modified Food Starch,Sodium Polyphosphates,Glycerol Ester Of Rosin,Yellow 6,Red 40,,,,,,,,,,,,,
Sunkist Zero Sugar Orange Soda Cans Multipack -,Sunkist Zero Sugar Orange Soda Cans Multipack -,Carbonated Water,Citric Acid,Sodium Benzoate,Aspartame,Malic Acid,Sodium Citrate,Natural Flavor,Acesulfame Potassium,Modified Food Starch,Ester Gum,Caffeine,Yellow 6,Red 40,,,,,,,,,,
Henry Weinhard,Henry Weinhard,Carbonated Water,Cane Sugar,Natural And Artificial Flavor,Sodium Benzoate,Phosphoric Acid,,,,,,,,,,,,,,,,,,
Signature SELECT Soda Orange -,Signature SELECT Soda Orange -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Modified Food Starch,Natural Flavor,Glycerol Esters Of Wood Rosin,Yellow 6,Red 4,,,,,,,,,,,,,,
Crush Orange Soda In Cans -,Crush Orange Soda In Cans -,Carbonated Water,High Fructose Corn Syrup,Citric Acid,Sodium Benzoate,Natural Flavor,Modified Corn Starch,Ester Gum,Yellow 6,Salt,Red 40,,,,,,,,,,,,,
,,Filtered Carbonated Water,Citric Acid,Potassium Benzoate,Aspartame,Potassium Crate,Acesulfame Potassium,Natural Flavor,Red 40,,,,,,,,,,,,,,,
Canada Dry Cranberry Ginger Ale Soda Bottle -,Canada Dry Cranberry Ginger Ale Soda Bottle -,Carbonated Water,High Fructose Corn Syrup And Less Than 2% Of: Ginger Extract,Natural And Artificial Flavors,Citric Acid,Sodium Benzoate,Red 40,Blue 1,,,,,,,,,,,,,,,,
Henry Weinhard,Henry Weinhard,Carbonated Water,Cane Sugar,Natural Flavor,High Fructose Corn Syrup,Caramel Color,Honey,Citric Acid,Sodium Benzoate,,,,,,,,,,,,,,,
Squirt Zero Sugar Grapefruit Soda Cans Multipack -,Squirt Zero Sugar Grapefruit Soda Cans Multipack -,Carbonated Water,Grapefruit Juice Concentrate,Natural Flavor,Citric Acid,Aspartame,Acesulfame Potassium,Modified Corn Starch,Ester Gum,Sodium Benzoate,Calcium Disodium Edta,,,,,,,,,,,,,
Squirt Grapefruit Soda In Can -,Squirt Grapefruit Soda In Can -,Carbonated Water,High Fructose Corn Syrup,Grapefruit Juice Concentrate,Natural Flavor,Citric Acid,Modified Corn Starch,Ester Gum,Sodium Benzoate,Calcium Disodium Edta,,,,,,,,,,,,,,
